chr	start	end	geneID	geneName
1	3069168	3438621	ENSG00000142611	PRDM16
1	3454426	3481113	ENSG00000130762	ARHGEF16
1	3489920	3611495	ENSG00000162591	MEGF6
1	3625002	3630127	ENSG00000158109	TPRG1L
1	3630767	3652761	ENSG00000116213	WRAP73
1	3652520	3736201	ENSG00000078900	TP73
1	3746460	3771645	ENSG00000162592	CCDC27
1	3772761	3775982	ENSG00000235169	SMIM1
1	3778558	3796504	ENSG00000130764	LRRC47
1	3782815	3783111	ENSG00000266075	RN7SL574P
1	3812081	3857214	ENSG00000116198	CEP104
1	3857267	3885429	ENSG00000169598	DFFB
1	3889125	3900293	ENSG00000198912	C1orf174
1	4654732	4792534	ENSG00000196581	AJAP1
1	5862811	5992473	ENSG00000131697	NPHP4
1	5991466	6101193	ENSG00000069424	KCNAB2
1	6101793	6180123	ENSG00000116254	CHD5
1	6185020	6209389	ENSG00000116251	RPL22
1	6205475	6221299	ENSG00000158286	RNF207
1	6221193	6235972	ENSG00000116237	ICMT
1	6244192	6245578	ENSG00000173673	HES3
1	6247346	6260975	ENSG00000158292	GPR153
1	6412418	6424670	ENSG00000069812	HES2
1	6460786	6466195	ENSG00000215788	TNFRSF25
1	6466092	6520061	ENSG00000171680	PLEKHG5
1	6521347	6554535	ENSG00000162408	NOL9
1	6540854	6540964	ENSG00000253022	RNU6-731P
1	6555181	6579757	ENSG00000173662	TAS1R1
1	6580001	6589280	ENSG00000204859	ZBTB48
1	6590724	6614607	ENSG00000162413	KLHL21
1	6613685	6624033	ENSG00000116273	PHF13
1	6624866	6635586	ENSG00000041988	THAP3
1	6634168	6701924	ENSG00000007923	DNAJC11
1	6785324	7769706	ENSG00000171735	CAMTA1
1	7219360	7219524	ENSG00000207056	RNU1-8P
1	7771269	7781432	ENSG00000049245	VAMP3
1	7784320	7845177	ENSG00000049246	PER3
1	7843083	7853512	ENSG00000049247	UTS2
1	7915894	7943165	ENSG00000049249	TNFRSF9
1	7954291	7985505	ENSG00000116288	PARK7
1	7982881	7982983	ENSG00000200344	RF00019
1	8004404	8026308	ENSG00000116285	ERRFI1
1	8206434	8206597	ENSG00000200975	RNU1-7P
1	8292157	8292263	ENSG00000251977	RNU6-991P
1	8317826	8344167	ENSG00000162426	SLC45A1
1	8352397	8817643	ENSG00000142599	RERE
1	8511795	8511919	ENSG00000221083	RF00599
1	8796571	8796673	ENSG00000222511	RF00019
1	8861000	8879250	ENSG00000074800	ENO1
1	8945867	8975092	ENSG00000131686	CA6
1	8979576	8979874	ENSG00000265141	RN7SL451P
1	9003300	9026345	ENSG00000197241	SLC2A7
1	9035107	9088478	ENSG00000142583	SLC2A5
1	9100305	9129170	ENSG00000180758	GPR157
1	9151668	9151777	ENSG00000284357	MIR34A
1	9234775	9271337	ENSG00000049239	H6PD
1	9292880	9369532	ENSG00000171621	SPSB1
1	9539482	9585179	ENSG00000171612	SLC25A33
1	9588922	9614873	ENSG00000188807	TMEM201
1	9651732	9729114	ENSG00000171608	PIK3CD
1	9729026	9824526	ENSG00000171603	CLSTN1
1	9848276	9910336	ENSG00000178585	CTNNBIP1
1	9922113	9943407	ENSG00000162441	LZIC
1	9943428	9985501	ENSG00000173614	NMNAT1
1	9947318	9947636	ENSG00000202415	RN7SKP269
1	9997206	10016020	ENSG00000162444	RBP7
1	10032832	10181239	ENSG00000130939	UBE4B
1	10163268	10163374	ENSG00000201746	RNU6-828P
1	10210805	10381603	ENSG00000054523	KIF1B
1	10227718	10227803	ENSG00000264881	MIR1273D
1	10306465	10306757	ENSG00000264501	RN7SL731P
1	10398592	10420144	ENSG00000142657	PGD
1	10456522	10472526	ENSG00000160049	DFFA
1	10472288	10630758	ENSG00000142655	PEX14
1	10616836	10617115	ENSG00000243267	RN7SL614P
1	10636604	10796650	ENSG00000130940	CASZ1
1	10946471	10982037	ENSG00000175262	C1orf127
1	11066618	11099881	ENSG00000171824	EXOSC10
1	11106535	11262507	ENSG00000198793	MTOR
1	11152350	11152452	ENSG00000253086	RNU6-537P
1	11189341	11195981	ENSG00000171819	ANGPTL7
1	11226254	11226360	ENSG00000207451	RNU6-291P
1	11273206	11296049	ENSG00000120942	UBIAD1
1	11479166	11537584	ENSG00000204624	DISP3
1	11637018	11655785	ENSG00000116661	FBXO2
1	11664124	11674354	ENSG00000116663	FBXO6
1	11674480	11691650	ENSG00000116670	MAD2L2
1	11691729	11725857	ENSG00000162490	DRAXIN
1	11736084	11754802	ENSG00000177674	AGTRAP
1	11761787	11789585	ENSG00000215910	C1orf167
1	11785723	11806920	ENSG00000177000	MTHFR
1	11806096	11848079	ENSG00000011021	CLCN6
1	11845709	11848345	ENSG00000175206	NPPA
1	11857464	11858931	ENSG00000120937	NPPB
1	11908152	11908271	ENSG00000199347	RNU5E-1
1	11909808	11909927	ENSG00000201801	RNU5E-4P
1	11934205	11975538	ENSG00000083444	PLOD1
1	11980181	12013514	ENSG00000116688	MFN2
1	12019466	12032045	ENSG00000116691	MIIP
1	12024012	12024124	ENSG00000202461	RF00019
1	12036740	12037014	ENSG00000243539	RN7SL649P
1	12063377	12144207	ENSG00000120949	TNFRSF8
1	12077881	12077984	ENSG00000201135	RNU6-777P
1	12167003	12209228	ENSG00000028137	TNFRSF1B
1	12221148	12221271	ENSG00000252969	RF00156
1	12230030	12512047	ENSG00000048707	VPS13D
1	12507246	12507397	ENSG00000239149	SNORA59A
1	12567910	12617731	ENSG00000162496	DHRS3
1	12644547	12667086	ENSG00000204518	AADACL4
1	12716115	12728759	ENSG00000188984	AADACL3
1	12746215	12763699	ENSG00000157330	C1orf158
1	12774841	12777906	ENSG00000116726	PRAMEF12
1	12791397	12796628	ENSG00000116721	PRAMEF1
1	13369067	13371900	ENSG00000204480	PRAMEF19
1	13389632	13392629	ENSG00000204479	PRAMEF17
1	13410450	13421328	ENSG00000204478	PRAMEF20
1	13474977	13514048	ENSG00000162494	LRRC38
1	13583465	13617957	ENSG00000162493	PDPN
1	13696070	13696199	ENSG00000253085	RF00564
1	13700198	13825079	ENSG00000116731	PRDM2
1	13892792	15118043	ENSG00000189337	KAZN
1	14124233	14124335	ENSG00000252151	RNU6-1265P
1	15152532	15220480	ENSG00000171729	TMEM51
1	15247272	15400283	ENSG00000142621	FHAD1
1	15409895	15430343	ENSG00000142634	EFHD2
1	15438439	15449242	ENSG00000162438	CTRC
1	15456728	15472091	ENSG00000142615	CELA2A
1	15465909	15491400	ENSG00000215704	CELA2B
1	15490832	15526534	ENSG00000132906	CASP9
1	15526813	15592379	ENSG00000116138	DNAJC16
1	15572353	15585110	ENSG00000116771	AGMAT
1	15608078	15608145	ENSG00000252417	RNU7-179P
1	15617500	15669044	ENSG00000197312	DDI2
1	15684332	15734769	ENSG00000116786	PLEKHM2
1	15736405	15741396	ENSG00000162461	SLC25A34
1	15742422	15747982	ENSG00000162460	TMEM82
1	15756607	15786594	ENSG00000162458	FBLIM1
1	15807169	15809348	ENSG00000233954	UQCRHL
1	15847864	15940460	ENSG00000065526	SPEN
1	15941869	15976132	ENSG00000116809	ZBTB17
1	16004236	16008807	ENSG00000183888	SRARP
1	16018875	16034050	ENSG00000186510	CLCNKA
1	16043736	16057308	ENSG00000184908	CLCNKB
1	16124337	16156087	ENSG00000142627	EPHA2
1	16197854	16212609	ENSG00000142632	ARHGEF19
1	16231700	16237162	ENSG00000132881	CPLANE2
1	16246839	16352454	ENSG00000037637	FBXO42
1	16352575	16398145	ENSG00000055070	SZRD1
1	16387117	16437424	ENSG00000187144	SPATA21
1	16440672	16460078	ENSG00000157191	NECAP2
1	16740273	16972979	ENSG00000058453	CROCC
1	16974502	16980835	ENSG00000117122	MFAP2
1	16985958	17011928	ENSG00000159363	ATP13A2
1	17018722	17054170	ENSG00000117118	SDHB
1	17066761	17119435	ENSG00000117115	PADI2
1	17205126	17246005	ENSG00000142623	PADI1
1	17249098	17284233	ENSG00000142619	PADI3
1	17308195	17364004	ENSG00000159339	PADI4
1	17372196	17401699	ENSG00000276747	PADI6
1	17406760	17439724	ENSG00000179051	RCC2
1	17539835	17697874	ENSG00000074964	ARHGEF10L
1	17755313	17827063	ENSG00000117148	ACTL8
1	18107746	18378483	ENSG00000117154	IGSF21
1	18480982	18486126	ENSG00000179023	KLHDC7A
1	18631006	18748866	ENSG00000009709	PAX7
1	18839599	18859682	ENSG00000179002	TAS1R2
1	18871430	18902781	ENSG00000159423	ALDH4A1
1	18904281	18956686	ENSG00000169991	IFFO2
1	19074506	19210276	ENSG00000127481	UBR4
1	19215664	19251552	ENSG00000127463	EMC1
1	19251539	19260128	ENSG00000053372	MRTO4
1	19282558	19289250	ENSG00000162482	AKR7A3
1	19303965	19312146	ENSG00000053371	AKR7A2
1	19305076	19305182	ENSG00000200403	RNU6-1099P
1	19312326	19329300	ENSG00000040487	PQLC2
1	19338776	19485539	ENSG00000077549	CAPZB
1	19424384	19424671	ENSG00000240490	RN7SL277P
1	19484403	19629821	ENSG00000173436	MINOS1
1	19510593	19510733	ENSG00000201609	RNU4-28P
1	19596979	19658456	ENSG00000158747	NBL1
1	19665287	19679562	ENSG00000158748	HTR6
1	19682213	19799945	ENSG00000162542	TMCO4
1	19814029	19815278	ENSG00000178828	RNF186
1	19882513	19912945	ENSG00000169914	OTUD3
1	19920009	19923617	ENSG00000188784	PLA2G2E
1	19970969	19971269	ENSG00000242688	RN7SL304P
1	19975431	19980416	ENSG00000188257	PLA2G2A
1	20028179	20091190	ENSG00000127472	PLA2G5
1	20111939	20119566	ENSG00000117215	PLA2G2D
1	20139326	20150386	ENSG00000158786	PLA2G2F
1	20186085	20196048	ENSG00000162543	UBXN10
1	20290919	20354894	ENSG00000158816	VWA5B1
1	20482391	20486220	ENSG00000162545	CAMK2N1
1	20499448	20508161	ENSG00000090432	MUL1
1	20552439	20555010	ENSG00000183114	FAM43B
1	20588948	20618908	ENSG00000158825	CDA
1	20633455	20651511	ENSG00000158828	PINK1
1	20633679	20633788	ENSG00000284005	MIR6084
1	20651767	20661544	ENSG00000244038	DDOST
1	20664014	20718017	ENSG00000117245	KIF17
1	20719732	20732837	ENSG00000189410	SH2D5
1	20742661	20787323	ENSG00000127483	HP1BP3
1	20806292	21176888	ENSG00000075151	EIF4G3
1	21217247	21345572	ENSG00000117298	ECE1
1	21440128	21485005	ENSG00000142794	NBPF3
1	21509372	21578412	ENSG00000162551	ALPL
1	21678298	21783606	ENSG00000090686	USP48
1	21812265	21825221	ENSG00000187942	LDLRAD2
1	21822245	21937297	ENSG00000142798	HSPG2
1	22001656	22012539	ENSG00000142789	CELA3A
1	22052627	22092946	ENSG00000070831	CDC42
1	22117305	22143969	ENSG00000162552	WNT4
1	22428838	22531157	ENSG00000184677	ZBTB40
1	22563564	22603594	ENSG00000070886	EPHA8
1	22636506	22639608	ENSG00000173372	C1QA
1	22643630	22648110	ENSG00000159189	C1QC
1	22652762	22661538	ENSG00000173369	C1QB
1	22710839	22921500	ENSG00000133216	EPHB2
1	22953043	22965338	ENSG00000215906	LACTBL1
1	23019443	23083689	ENSG00000004487	KDM1A
1	23044305	23044372	ENSG00000263793	MIR3115
1	23084023	23177808	ENSG00000169641	LUZP1
1	23163953	23164053	ENSG00000252578	RNU6-135P
1	23191895	23194729	ENSG00000179546	HTR1D
1	23303771	23344336	ENSG00000125944	HNRNPR
1	23359448	23369442	ENSG00000125945	ZNF436
1	23370254	23370346	ENSG00000201405	RF00019
1	23381061	23424740	ENSG00000204219	TCEA3
1	23428563	23484568	ENSG00000088280	ASAP3
1	23506430	23531220	ENSG00000007968	E2F2
1	23557918	23559794	ENSG00000117318	ID3
1	23691742	23696835	ENSG00000142676	RPL11
1	23743155	23762059	ENSG00000011007	ELOA
1	23778405	23788232	ENSG00000057757	PITHD1
1	23790970	23795539	ENSG00000011009	LYPLA2
1	23795599	23800804	ENSG00000117308	GALE
1	23801885	23838620	ENSG00000117305	HMGCL
1	23845077	23868294	ENSG00000179163	FUCA1
1	23870526	23913362	ENSG00000188822	CNR2
1	23964804	23980927	ENSG00000188529	SRSF10
1	24056035	24112175	ENSG00000142661	MYOM3
1	24119771	24143121	ENSG00000142677	IL22RA1
1	24154157	24187959	ENSG00000185436	IFNLR1
1	24319322	24364482	ENSG00000158055	GRHL3
1	24356999	24416934	ENSG00000001460	STPG1
1	24415794	24472976	ENSG00000001461	NIPAL3
1	24502351	24541040	ENSG00000117602	RCAN3
1	24625411	24625513	ENSG00000239106	RF00019
1	24631716	24673267	ENSG00000133226	SRRM1
1	24745357	24844324	ENSG00000169504	CLIC4
1	24777873	24777979	ENSG00000238482	RNU6-1208P
1	24899511	24965121	ENSG00000020633	RUNX3
1	24919345	24919416	ENSG00000278034	MIR6731
1	25222679	25232502	ENSG00000117614	SYF2
1	25430858	25500209	ENSG00000204178	MACO1
1	25543580	25568886	ENSG00000157978	LDLRAP1
1	25617468	25786207	ENSG00000117643	MAN1C1
1	25800176	25818224	ENSG00000162430	SELENON
1	25818640	25832942	ENSG00000117640	MTFR1L
1	25831913	25859458	ENSG00000127423	AUNIP
1	25861210	25871253	ENSG00000182749	PAQR7
1	25877496	25877605	ENSG00000207302	RF00019
1	25884181	25906991	ENSG00000117632	STMN1
1	25906362	25906454	ENSG00000283938	MIR3917
1	25959767	25998157	ENSG00000158006	PAFAH2
1	25964197	25964300	ENSG00000207237	RNU6-110P
1	26019884	26036464	ENSG00000158008	EXTL1
1	26037252	26046133	ENSG00000158014	SLC30A2
1	26051304	26068436	ENSG00000158022	TRIM63
1	26111165	26125543	ENSG00000175087	PDIK1L
1	26159020	26163962	ENSG00000197245	FAM110D
1	26164161	26168581	ENSG00000282872	C1orf232
1	26169516	26171831	ENSG00000236782	AL391650.1
1	26169871	26170873	ENSG00000142684	ZNF593
1	26177403	26189886	ENSG00000142675	CNKSR1
1	26190561	26202968	ENSG00000188782	CATSPER4
1	26234200	26278808	ENSG00000130695	CEP85
1	26281328	26318363	ENSG00000158062	UBXN11
1	26317957	26320523	ENSG00000169442	CD52
1	26321698	26360080	ENSG00000176092	CRYBG2
1	26361634	26374522	ENSG00000176083	ZNF683
1	26410778	26429722	ENSG00000131914	LIN28A
1	26432282	26471294	ENSG00000117682	DHDDS
1	26529761	26575030	ENSG00000117676	RPS6KA1
1	26554542	26554593	ENSG00000238705	MIR1976
1	26593243	26593546	ENSG00000243905	RN7SL679P
1	26593940	26594041	ENSG00000252802	RF00019
1	26642286	26642389	ENSG00000238316	RF01210
1	26693236	26782110	ENSG00000117713	ARID1A
1	26787472	26798398	ENSG00000060642	PIGV
1	26814822	26815112	ENSG00000241188	RN7SL165P
1	26826710	26857602	ENSG00000204160	ZDHHC18
1	26863138	26864457	ENSG00000175793	SFN
1	26876133	26890297	ENSG00000142751	GPN2
1	26890488	26900466	ENSG00000198746	GPATCH3
1	26900238	26946862	ENSG00000090273	NUDC
1	26911489	26913966	ENSG00000131910	NR0B2
1	26949562	26960406	ENSG00000175707	KDF1
1	26993707	27000898	ENSG00000253368	TRNP1
1	27005020	27012836	ENSG00000158246	TENT5B
1	27098815	27166981	ENSG00000090020	SLC9A1
1	27255464	27255567	ENSG00000252098	RF00019
1	27322145	27336400	ENSG00000186501	TMEM222
1	27325219	27325325	ENSG00000206888	RNU6-48P
1	27342020	27353937	ENSG00000142765	SYTL1
1	27355184	27366892	ENSG00000142733	MAP3K6
1	27379176	27383380	ENSG00000174950	CD164L2
1	27392644	27395814	ENSG00000181773	GPR3
1	27404226	27490158	ENSG00000158195	WASF2
1	27725979	27763122	ENSG00000009780	FAM76A
1	27773183	27824452	ENSG00000117758	STX12
1	27824538	27824643	ENSG00000223062	RNU6-1245P
1	27830778	27851676	ENSG00000117751	PPP1R8
1	27834401	27834566	ENSG00000252947	SCARNA1
1	27872543	27886685	ENSG00000130775	THEMIS2
1	27891524	27914746	ENSG00000117748	RPA2
1	27934993	27959157	ENSG00000130768	SMPDL3B
1	27959462	27968096	ENSG00000158156	XKR8
1	27970344	28088696	ENSG00000158161	EYA3
1	28031884	28032180	ENSG00000240750	RN7SL559P
1	28142737	28142841	ENSG00000253005	RNU6-176P
1	28147166	28193936	ENSG00000169403	PTAFR
1	28236109	28246906	ENSG00000130770	ATP5IF1
1	28259527	28282491	ENSG00000130766	SESN2
1	28329002	28335967	ENSG00000130772	MED18
1	28369582	28500369	ENSG00000204138	PHACTR4
1	28422555	28422655	ENSG00000206779	RF00019
1	28481362	28481480	ENSG00000221216	RNU6ATAC27P
1	28505943	28539300	ENSG00000180198	RCC1
1	28507366	28507571	ENSG00000274266	SNORA73A
1	28508559	28508762	ENSG00000200087	SNORA73B
1	28579764	28579893	ENSG00000278274	SNORA61
1	28580381	28580512	ENSG00000273544	SNORA44
1	28580920	28581054	ENSG00000280498	SNORA16A
1	28592200	28595443	ENSG00000188060	RAB42
1	28668732	28719353	ENSG00000162419	GMEB1
1	28736621	28769775	ENSG00000198492	YTHDF2
1	28812142	28871267	ENSG00000116329	OPRD1
1	28887091	29120046	ENSG00000159023	EPB41
1	28985710	28985810	ENSG00000206704	RF00019
1	29041199	29041480	ENSG00000277958	RF00017
1	29119428	29123935	ENSG00000253304	TMEM200B
1	29147743	29181987	ENSG00000116350	SRSF4
1	29236516	29326813	ENSG00000060656	PTPRU
1	30711277	30723587	ENSG00000162510	MATN1
1	30732469	30757820	ENSG00000162511	LAPTM5
1	30739156	30739232	ENSG00000264773	MIR4420
1	30843823	30844110	ENSG00000222784	RN7SKP91
1	30869467	30908761	ENSG00000162512	SDC3
1	30931506	31065991	ENSG00000134644	PUM1
1	31179745	31239554	ENSG00000084628	NKAIN1
1	31259568	31296782	ENSG00000060688	SNRNP40
1	31296982	31364953	ENSG00000121766	ZCCHC17
1	31365625	31376850	ENSG00000121769	FABP3
1	31409565	31434680	ENSG00000168528	SERINC2
1	31497577	31497683	ENSG00000206981	RNU6-40P
1	31503631	31503744	ENSG00000265961	RF00019
1	31576485	31587686	ENSG00000142910	TINAGL1
1	31617686	31632518	ENSG00000121764	HCRTR1
1	31629862	31644896	ENSG00000162517	PEF1
1	31652247	31704319	ENSG00000084636	COL16A1
1	31727117	31764893	ENSG00000121753	ADGRB2
1	31758660	31758735	ENSG00000266580	MIR4254
1	31790422	31816051	ENSG00000134668	SPOCD1
1	31906421	31944856	ENSG00000184007	PTP4A2
1	32013829	32060850	ENSG00000121774	KHDRBS1
1	32072031	32102866	ENSG00000121775	TMEM39B
1	32086949	32087007	ENSG00000266203	MIR5585
1	32108038	32176568	ENSG00000025800	KPNA6
1	32179686	32198285	ENSG00000084652	TXLNA
1	32200386	32205387	ENSG00000160050	CCDC28B
1	32205661	32208687	ENSG00000160051	IQCC
1	32209094	32216196	ENSG00000222046	DCDC2B
1	32221928	32231604	ENSG00000084623	EIF3I
1	32247233	32248856	ENSG00000183615	FAM167B
1	32251239	32286165	ENSG00000182866	LCK
1	32292086	32333635	ENSG00000116478	HDAC1
1	32333832	32336379	ENSG00000175130	MARCKSL1
1	32351521	32364312	ENSG00000162526	TSSK3
1	32361270	32364278	ENSG00000225828	FAM229A
1	32365103	32394731	ENSG00000160058	BSDC1
1	32457835	32458135	ENSG00000263529	RN7SL122P
1	32539427	32605939	ENSG00000160062	ZBTB8A
1	32600172	32650903	ENSG00000176261	ZBTB8OS
1	32639951	32640052	ENSG00000200591	RF00019
1	32651142	32686211	ENSG00000162521	RBBP4
1	32741885	32774970	ENSG00000162522	KIAA1522
1	32775237	32818153	ENSG00000134684	YARS
1	32816767	32858879	ENSG00000116497	S100PBP
1	32862268	32872482	ENSG00000160097	FNDC5
1	32885994	32898441	ENSG00000121905	HPCA
1	32894594	32901438	ENSG00000121900	TMEM54
1	32936445	32964685	ENSG00000116514	RNF19B
1	33007940	33080996	ENSG00000004455	AK2
1	33029232	33029576	ENSG00000276645	RF00017
1	33081104	33120530	ENSG00000142920	AZIN2
1	33145402	33182059	ENSG00000116525	TRIM62
1	33256545	33300719	ENSG00000160094	ZNF362
1	33306766	33321098	ENSG00000184389	A3GALT2
1	33323623	33431052	ENSG00000134686	PHC2
1	33336566	33336864	ENSG00000222112	RN7SKP16
1	33472645	33496507	ENSG00000121903	ZSCAN20
1	33513999	34165842	ENSG00000121904	CSMD2
1	34166883	34219131	ENSG00000142698	C1orf94
1	34669599	34669694	ENSG00000207941	MIR552
1	34712737	34859816	ENSG00000163866	SMIM12
1	34755047	34758512	ENSG00000189280	GJB5
1	34759741	34763724	ENSG00000189433	GJB4
1	34865436	34929585	ENSG00000116544	DLGAP3
1	34981535	34985353	ENSG00000243749	TMEM35B
1	34986165	35031968	ENSG00000163867	ZMYM6
1	35032172	35115859	ENSG00000197056	ZMYM1
1	35176378	35193148	ENSG00000116560	SFPQ
1	35195969	35196062	ENSG00000201868	RF00019
1	35268967	35422058	ENSG00000146463	ZMYM4
1	35292196	35292498	ENSG00000240374	RN7SL503P
1	35310274	35310425	ENSG00000201542	RF00091
1	35433490	35557950	ENSG00000142687	KIAA0319L
1	35557473	35567274	ENSG00000020129	NCDN
1	35573370	35595328	ENSG00000116819	TFAP2E
1	35599544	35641844	ENSG00000126067	PSMB2
1	35713875	35719472	ENSG00000142686	C1orf216
1	35720218	35769967	ENSG00000092853	CLSPN
1	35808172	35857890	ENSG00000134698	AGO4
1	35869808	35930528	ENSG00000092847	AGO1
1	35930718	36072500	ENSG00000126070	AGO3
1	36084075	36088275	ENSG00000092850	TEKT2
1	36088875	36093932	ENSG00000116863	ADPRHL2
1	36136570	36156053	ENSG00000054116	TRAPPC3
1	36155579	36180849	ENSG00000116871	MAP7D1
1	36224416	36305357	ENSG00000054118	THRAP3
1	36306387	36324886	ENSG00000214193	SH3D21
1	36322031	36324154	ENSG00000142694	EVA1B
1	36339624	36385896	ENSG00000196182	STK40
1	36391238	36397892	ENSG00000181817	LSM10
1	36402721	36402859	ENSG00000222821	RNU4-27P
1	36415827	36450451	ENSG00000116885	OSCP1
1	36455718	36464437	ENSG00000116898	MRPS15
1	36466043	36483278	ENSG00000119535	CSF3R
1	36795527	37034129	ENSG00000163873	GRIK3
1	37161563	37161634	ENSG00000264698	MIR4255
1	37203610	37203716	ENSG00000207328	RNU6-636P
1	37474552	37484379	ENSG00000163874	ZC3H12A
1	37480230	37480289	ENSG00000283724	MIR6732
1	37492575	37514774	ENSG00000163875	MEAF6
1	37534449	37554344	ENSG00000163877	SNIP1
1	37556919	37566857	ENSG00000163879	DNALI1
1	37566816	37595935	ENSG00000134697	GNL2
1	37611350	37634923	ENSG00000169218	RSPO1
1	37681570	37692249	ENSG00000116922	C1orf109
1	37692418	37709719	ENSG00000134690	CDCA8
1	37713880	37765133	ENSG00000183317	EPHA10
1	37737955	37738054	ENSG00000200421	RF00019
1	37793802	37801137	ENSG00000185090	MANEAL
1	37809567	37859620	ENSG00000188786	MTF1
1	37860697	37947057	ENSG00000204084	INPP5B
1	37885023	37885117	ENSG00000222282	RNU6-584P
1	37956975	37990921	ENSG00000183431	SF3A3
1	37991462	37991569	ENSG00000212541	RNU6-510P
1	37996770	38005606	ENSG00000183386	FHL3
1	38009258	38024824	ENSG00000183520	UTP11
1	38044611	38046794	ENSG00000185668	POU3F1
1	38396659	38396765	ENSG00000200796	RNU6-753P
1	38838198	38859823	ENSG00000116954	RRAGC
1	38874451	38881587	ENSG00000131233	GJA9
1	38885807	38941799	ENSG00000158315	RHBDL2
1	38926870	38926977	ENSG00000199963	RNU6-605P
1	38950825	38950925	ENSG00000207466	RF00019
1	39026318	39034636	ENSG00000168653	NDUFS5
1	39120940	39121043	ENSG00000206654	RNU6-608P
1	39560816	39576790	ENSG00000090621	PABPC4
1	39567374	39567508	ENSG00000201457	SNORA55
1	39624153	39639945	ENSG00000163909	HEYL
1	39659121	39672038	ENSG00000116981	NT5C1A
1	39678648	39691689	ENSG00000116983	HPCAL4
1	39692182	39763914	ENSG00000084072	PPIE
1	39723566	39723627	ENSG00000252413	RNU7-121P
1	39757182	39788861	ENSG00000116985	BMP8B
1	39838110	39883511	ENSG00000043514	TRIT1
1	39881566	39881678	ENSG00000202222	RF00019
1	39895426	39902256	ENSG00000116990	MYCL
1	39944890	39944998	ENSG00000207356	RF00019
1	39955112	39969968	ENSG00000168389	MFSD2A
1	40040233	40072649	ENSG00000131236	CAP1
1	40071461	40097727	ENSG00000131238	PPT1
1	40161373	40240921	ENSG00000117000	RLF
1	40177843	40177949	ENSG00000207508	RNU6-1237P
1	40245947	40251691	ENSG00000188800	TMCO2
1	40258107	40294184	ENSG00000084073	ZMPSTE24
1	40300487	40317813	ENSG00000049089	COL9A2
1	40344850	40423326	ENSG00000084070	SMAP2
1	40450102	40463718	ENSG00000187801	ZFP69B
1	40477215	40496343	ENSG00000187815	ZFP69
1	40508741	40516556	ENSG00000164002	EXO5
1	40531561	40548169	ENSG00000117010	ZNF684
1	40620679	40665657	ENSG00000117016	RIMS3
1	40691648	40771603	ENSG00000066136	NFYC
1	40754355	40754446	ENSG00000198974	MIR30E
1	40757284	40757372	ENSG00000207962	MIR30C1
1	40783814	40840452	ENSG00000117013	KCNQ4
1	40804846	40805141	ENSG00000264582	RN7SL326P
1	40861051	40862366	ENSG00000179862	CITED4
1	40979335	41012565	ENSG00000171793	CTPS1
1	41015597	41023237	ENSG00000171790	SLFNL1
1	41027200	41242154	ENSG00000010803	SCMH1
1	41361922	41383590	ENSG00000204060	FOXO6
1	41478775	41484673	ENSG00000127129	EDN2
1	41506365	42035925	ENSG00000127124	HIVEP3
1	42153421	42155824	ENSG00000044012	GUCA2B
1	42162691	42164718	ENSG00000197273	GUCA2A
1	42176539	42335877	ENSG00000198815	FOXJ3
1	42380795	42422578	ENSG00000177181	RIMKLA
1	42430329	42456267	ENSG00000066185	ZMYND12
